stress_level,method,success,success_ci95,precondition_violation,precondition_violation_ci95,belief_ece,belief_ece_ci95,recovery_success,recovery_success_ci95,damage_rate,damage_rate_ci95,wasted_action,wasted_action_ci95,intervention_cost,intervention_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups
0.0,receding_horizon_mpc,0.5553,0.0049,0.1144,0.0007,0.0947,0.0006,0.3288,0.0014,0.0483,0.0002,0.0987,0.0009,0.2271,0.0,0.367,0.0014,7
0.0,conformal_risk_tamp,0.5651,0.0074,0.0909,0.0006,0.0835,0.0004,0.3652,0.001,0.042,0.0004,0.0901,0.0004,0.2891,0.0,0.4454,0.0008,7
0.0,contingent_pomdp_tamp,0.6019,0.0139,0.0703,0.0007,0.0672,0.0005,0.4658,0.0011,0.0409,0.0007,0.0759,0.0005,0.2783,0.0,0.5367,0.001,7
0.0,proposed_contact_belief_tamp,0.6575,0.0047,0.0378,0.0004,0.0472,0.0003,0.564,0.0011,0.0359,0.0003,0.06,0.0007,0.1809,0.0,0.6565,0.0018,7
0.0,oracle_contact_outcome_planner,0.7425,0.0057,0.0138,0.0009,0.0421,0.0003,0.6155,0.0015,0.0328,0.0004,0.0518,0.0005,0.1673,0.0,0.7223,0.0011,7
0.2,receding_horizon_mpc,0.5224,0.0073,0.1272,0.0003,0.1096,0.0005,0.329,0.0014,0.0552,0.0006,0.1074,0.0007,0.2346,0.0,0.359,0.0012,7
0.2,conformal_risk_tamp,0.5367,0.0095,0.1028,0.0008,0.0942,0.0005,0.3649,0.0019,0.0461,0.0003,0.0984,0.001,0.2966,0.0,0.4362,0.0004,7
0.2,contingent_pomdp_tamp,0.5732,0.0065,0.0786,0.0007,0.0755,0.0005,0.4649,0.0014,0.0455,0.0003,0.0819,0.0005,0.2858,0.0,0.5288,0.0012,7
0.2,proposed_contact_belief_tamp,0.6301,0.006,0.0425,0.0006,0.0524,0.0005,0.5634,0.0016,0.0392,0.0004,0.0626,0.0007,0.1884,0.0,0.6463,0.0009,7
0.2,oracle_contact_outcome_planner,0.7173,0.0052,0.0152,0.0005,0.0433,0.0003,0.6165,0.0007,0.0338,0.0009,0.0543,0.0006,0.1747,0.0,0.712,0.0013,7
0.4,receding_horizon_mpc,0.493,0.0055,0.1399,0.001,0.125,0.0008,0.3283,0.002,0.063,0.0004,0.1169,0.0005,0.2421,0.0,0.3501,0.0011,7
0.4,conformal_risk_tamp,0.5049,0.0069,0.1139,0.0007,0.1047,0.0007,0.3637,0.001,0.0515,0.0005,0.1061,0.0006,0.3041,0.0,0.4271,0.0011,7
0.4,contingent_pomdp_tamp,0.5444,0.0083,0.0862,0.0008,0.0844,0.0006,0.4632,0.0005,0.0498,0.0004,0.0881,0.0007,0.2932,0.0,0.5182,0.0011,7
0.4,proposed_contact_belief_tamp,0.6064,0.0077,0.0466,0.0004,0.0563,0.0005,0.5622,0.0019,0.0415,0.0004,0.0663,0.0003,0.1958,0.0,0.6372,0.001,7
0.4,oracle_contact_outcome_planner,0.7017,0.0067,0.017,0.0003,0.0453,0.0005,0.615,0.0015,0.0344,0.0002,0.0559,0.0005,0.1822,0.0,0.7034,0.0011,7
0.6,receding_horizon_mpc,0.4621,0.0109,0.1528,0.0007,0.1402,0.0005,0.3265,0.0016,0.0701,0.0003,0.1267,0.0005,0.2495,0.0,0.3414,0.0011,7
0.6,conformal_risk_tamp,0.4774,0.0061,0.1251,0.0009,0.1153,0.0007,0.3618,0.0018,0.0562,0.0005,0.1137,0.0005,0.3115,0.0,0.4173,0.0007,7
0.6,contingent_pomdp_tamp,0.5123,0.006,0.0944,0.0006,0.093,0.0008,0.4631,0.0013,0.0544,0.0004,0.0932,0.0006,0.3007,0.0,0.5099,0.001,7
0.6,proposed_contact_belief_tamp,0.5858,0.0054,0.0504,0.0008,0.0611,0.0006,0.5623,0.0017,0.0443,0.0002,0.0689,0.0008,0.2033,0.0,0.6286,0.0011,7
0.6,oracle_contact_outcome_planner,0.6811,0.0069,0.0181,0.0004,0.0468,0.0005,0.6132,0.0011,0.0363,0.0008,0.0582,0.0006,0.1897,0.0,0.6944,0.001,7
0.8,receding_horizon_mpc,0.4244,0.007,0.1656,0.0009,0.1549,0.0003,0.3248,0.0008,0.078,0.0004,0.1359,0.0005,0.257,0.0,0.3325,0.0019,7
0.8,conformal_risk_tamp,0.4413,0.0108,0.1363,0.0005,0.1256,0.0004,0.3609,0.0021,0.0609,0.0002,0.1227,0.0006,0.319,0.0,0.4085,0.001,7
0.8,contingent_pomdp_tamp,0.4923,0.006,0.1024,0.0008,0.1019,0.0003,0.4613,0.0014,0.0593,0.0006,0.1001,0.0004,0.3082,0.0,0.5,0.0008,7
0.8,proposed_contact_belief_tamp,0.5642,0.0071,0.0551,0.0006,0.0655,0.0002,0.5599,0.001,0.0472,0.0005,0.0728,0.0007,0.2108,0.0,0.6201,0.0011,7
0.8,oracle_contact_outcome_planner,0.663,0.0048,0.0192,0.0007,0.0483,0.0002,0.6127,0.0008,0.0362,0.0005,0.0598,0.0004,0.1971,0.0,0.6847,0.0009,7
1.0,receding_horizon_mpc,0.3893,0.0048,0.1782,0.0003,0.17,0.0004,0.3247,0.001,0.085,0.0002,0.1454,0.0009,0.2645,0.0,0.3224,0.001,7
1.0,conformal_risk_tamp,0.4122,0.0065,0.1477,0.0007,0.136,0.0006,0.3605,0.001,0.0657,0.0002,0.1308,0.0007,0.3265,0.0,0.4001,0.0006,7
1.0,contingent_pomdp_tamp,0.4575,0.0059,0.1106,0.0004,0.1103,0.0002,0.4603,0.0007,0.0634,0.0005,0.1054,0.0011,0.3157,0.0,0.4909,0.0008,7
